id_cliente,nombre,genero,fecha_registro,gasto_q,ciudad,categoria
502609,Paola Morales,Masculino,2026-02-27,255.79,Antigua,Retail
500588,Ana Diaz,Femenino,2026-02-24,371.8,Villa Nueva,Services
502408,Maria Paz,Masculino,2026-01-15,255.79,Quetzaltenango,Retail
501688,Ana Mejia,Femenino,2026-01-18,361.23,Quetzaltenango,Education
502916,Carlos  Mendez,Femenino,,255.79,Amatitlan,Retail
504200,Oscar Rojas,Masculino,2026-01-09,138.22,Antigua,Retail
502029,Isabel Ramirez,Masculino,2026-02-05,255.79,Villa Nueva,Services
501366,Pedro  Herrera,Masculino,,255.79,Amatitlan,Education
502614,Patricia Soto,Femenino,2026-01-11,222.88,Guatemala,Retail
502794,Pablo Perez,Masculino,2026-02-06,255.79,Escuintla,Retail
504410,Paola Herrera,Femenino,2026-01-05,255.79,Antigua,Education
500921,Monica Lopez,Femenino,2026-02-16,255.79,Quetzaltenango,Food
500344,Ana Soto,Femenino,2026-01-02,255.79,Guatemala,Education
503170,Laura Mendez,Masculino,,255.79,Guatemala,Education
502929,Daniel  Morales,Masculino,2026-01-12,237.93,Antigua,Food
503768,Karla Vargas,Masculino,2026-01-16,364.37,Escuintla,Food
501480,Carmen Gomez,Masculino,2026-01-08,255.79,Quetzaltenango,Services
503393,Daniel Flores,Masculino,2026-02-06,255.79,Escuintla,Education
501479,Paola  Fuentes,Masculino,2026-01-03,255.79,Antigua,Retail
503665,Carmen Soto,Masculino,2026-01-06,255.79,Antigua,Food
504232,Elena Perez,Femenino,,255.79,Villa Nueva,Services
502530,Carlos Fuentes,Masculino,2026-01-28,255.79,Escuintla,Food
500837,Oscar Fuentes,Femenino,2026-02-05,315.81,Villa Nueva,Food
504238,Maria Morales,Femenino,2026-01-04,255.79,Guatemala,Services
500464,Elena Vargas,Masculino,2026-01-27,487.93,Amatitlan,Services
504241,Karla Rojas,Femenino,2026-01-25,376.15,Antigua,Retail
501040,Gustavo Nunez,Femenino,2026-02-25,255.79,Escuintla,Retail
501552,Pedro  Mejia,Femenino,2026-02-24,255.79,Chimaltenango,Retail
501126,Sofia Mendez,Masculino,2026-02-27,323.34,Mixco,Services
504376,Carmen Solis,Femenino,,69.32,Chimaltenango,Food
501851,Elena Soto,Femenino,2026-02-09,214.5,Mixco,Services
504281,Carmen Fuentes,Femenino,2026-01-10,255.79,Mixco,Food
501098,Karla Rojas,Masculino,,326.83,Chimaltenango,Services
504347,Patricia Morales,Femenino,,255.79,Quetzaltenango,Services
504260,Fernando Ramirez,Masculino,2026-01-20,6.67,Amatitlan,Education
501419,Elena Vargas,Femenino,,255.79,Villa Nueva,Food
503884,Laura Cruz,Masculino,2026-02-08,255.79,Villa Nueva,Services
502586,Karla Perez,Masculino,2026-01-15,255.79,Amatitlan,Retail
503375,Carlos Castillo,Masculino,2026-01-14,255.79,Amatitlan,Food
501054,Gabriela Paz,Femenino,,98.61,Guatemala,Services
503880,Laura Fuentes,Femenino,2026-01-01,363.38,Villa Nueva,Education
502476,Oscar Morales,Femenino,2026-01-21,255.79,Amatitlan,Food
500015,Andrea Ortega,Masculino,2026-02-02,224.61,Guatemala,Services
503627,Karla Lopez,Masculino,2026-01-19,212.04,Desconocido,Education
501372,Andrea Dominguez,Masculino,2026-01-20,206.01,Escuintla,Services
503319,Pablo Herrera,Masculino,2026-01-16,67.35,Mixco,Retail
503195,Kevin Rojas,Femenino,2026-02-14,255.79,Quetzaltenango,Retail
502898,Sofia Cruz,Masculino,2026-02-19,255.79,Desconocido,Food
504162,Karla Lima,Femenino,2026-01-27,255.79,Amatitlan,Services
503479,Maria Alvarez,Masculino,2026-01-21,255.79,Quetzaltenango,Services
502819,Laura  Rojas,Femenino,2026-01-29,255.79,Escuintla,Services
502658,Monica  Dominguez,Femenino,2026-01-15,61.23,Guatemala,Education
503447,Isabel Dominguez,Femenino,2026-02-04,255.79,Chimaltenango,Food
501997,Pedro Cruz,Masculino,2026-02-04,255.79,Guatemala,Education
502056,Carlos  Ramirez,Femenino,2026-01-11,394.93,Guatemala,Education
504768,Gustavo Morales,Masculino,2026-02-12,255.79,Quetzaltenango,Food
502334,Jose Mejia,Masculino,2026-02-25,21.1,Desconocido,Food
502807,Laura Mendez,Femenino,,255.79,Quetzaltenango,Retail
503133,Carlos Solis,Masculino,2026-01-28,255.79,Quetzaltenango,Services
504775,Juan Ortega,Femenino,,490.26,Chimaltenango,Services
500577,Maria Solis,Femenino,2026-02-20,255.79,Chimaltenango,Food
504234,Daniel Mazariegos,Femenino,,255.79,Amatitlan,Food
502064,Elena Flores,Femenino,2026-01-10,201.39,Villa Nueva,Education
501747,Sofia Ruiz,Masculino,2026-02-21,165.62,Amatitlan,Food
500942,Jose Flores,Masculino,,453.55,Amatitlan,Education
500312,Carmen Vargas,Masculino,,255.79,Chimaltenango,Services
501202,Hector  Rojas,Femenino,2026-02-26,255.79,Chimaltenango,Food
501264,Sofia Herrera,Masculino,2026-01-07,255.79,Mixco,Food
504665,Fernando Ramirez,Femenino,2026-02-12,255.79,Antigua,Services
500663,Carlos Vargas,Masculino,,255.79,Villa Nueva,Education
503931,Oscar Lima,Masculino,,414.96,Guatemala,Education
502986,Sofia Cruz,Femenino,2026-01-20,255.79,Guatemala,Education
503676,Jose Nunez,Femenino,,387.06,Quetzaltenango,Services
501513,Kevin Aguilar,Femenino,,255.79,Chimaltenango,Services
502696,Kevin Diaz,Femenino,2026-01-09,71.07,Guatemala,Retail
501554,Carmen Paz,Masculino,,255.79,Amatitlan,Education
502526,Fernando Ramirez,Masculino,2026-02-14,26.33,Quetzaltenango,Education
503679,Daniel Nunez,Masculino,2026-01-20,255.79,Mixco,Food
501797,Monica Hernandez,Desconocido,,255.79,Mixco,Education
500749,Sofia Molina,Masculino,2026-01-09,270.59,Villa Nueva,Retail
501788,Gustavo Herrera,Masculino,2026-02-22,413.15,Villa Nueva,Retail
502740,Isabel Paz,Femenino,,227.83,Desconocido,Retail
501080,Carlos Rojas,Masculino,,218.57,Mixco,Services
500463,Fernando Hernandez,Masculino,2026-02-12,255.79,Amatitlan,Retail
500988,Oscar  Ortega,Femenino,2026-02-27,428.68,Mixco,Food
501989,Pedro Perez,Masculino,2026-01-30,183.8,Quetzaltenango,Education
500319,Sofia Cruz,Femenino,2026-02-25,72.05,Mixco,Services
503907,Fernando  Mejia,Femenino,,255.79,Guatemala,Retail
502552,Valeria Herrera,Masculino,2026-01-24,406.48,Escuintla,Education
500373,Gustavo Mazariegos,Femenino,,255.79,Guatemala,Food
504597,Hector Ruiz,Masculino,2026-02-15,255.79,Quetzaltenango,Retail
504217,Gabriela Torres,Masculino,2026-02-17,255.79,Quetzaltenango,Services
501331,Daniel Rojas,Femenino,,255.79,Amatitlan,Retail
504520,Jose Flores,Femenino,,255.79,Guatemala,Education
504071,Pablo Ramirez,Femenino,2026-02-10,255.79,Mixco,Services
501183,Monica Mendez,Masculino,2026-01-03,255.79,Desconocido,Food
500410,Valeria Ramirez,Masculino,,255.79,Villa Nueva,Services
501459,Miguel Mendez,Masculino,2026-02-08,255.79,Chimaltenango,Education
500069,Ana Nunez,Femenino,2026-01-19,255.79,Quetzaltenango,Retail
504061,Valeria Mejia,Masculino,,255.79,Villa Nueva,Education
503862,Jose  Rojas,Masculino,,255.79,Villa Nueva,Retail
502537,Maria Flores,Femenino,2026-01-16,297.36,Amatitlan,Retail
500343,Ana Mendez,Masculino,2026-02-14,128.16,Quetzaltenango,Retail
504503,Monica  Torres,Masculino,2026-02-24,255.79,Guatemala,Services
502352,Valeria Paz,Femenino,,255.79,Villa Nueva,Retail
502063,Oscar  Diaz,Masculino,2026-01-19,255.79,Chimaltenango,Food
503832,Andrea Rojas,Masculino,2026-01-09,303.9,Quetzaltenango,Services
504126,Paola  Rojas,Masculino,2026-01-21,255.79,Mixco,Retail
503997,Oscar Soto,Femenino,2026-02-16,255.79,Desconocido,Education
503389,Carlos Reyes,Masculino,,255.79,Escuintla,Education
501379,Oscar Torres,Masculino,2026-02-07,255.79,Quetzaltenango,Services
500589,Rene Lima,Masculino,2026-01-21,255.79,Escuintla,Food
502387,Miguel Ortega,Femenino,2026-03-01,255.79,Desconocido,Food
500864,Ana Soto,Femenino,2026-01-31,176.42,Mixco,Food
