id_cliente,nombre,genero,fecha_registro,gasto_q,ciudad,categoria
502609, Paola Morales , m ,2026-02-27,,Antigua,Retail
500588,ANA DIAZ, f ,2026-02-24,371.80,Villa Nueva,Services
502408,Maria Paz,m,2026-01-15,"373,33",quetzaltenango,retail
501688,Ana Mejia,f,2026-01-18,361.23,Quetzaltenango,Education
502916,Carlos  Mendez,f,29/01/2026,"339,01",Amatitlan,Retail
504200,Oscar Rojas, m ,2026-01-09,138.22,Antigua,RETAIL
502029,Isabel Ramirez,m,2026-02-05,"166,31",  Villa Nueva,SERVICES
501366,Pedro  Herrera, m ,12/02/2026,"405,62",  Amatitlan,Education
502614,Patricia Soto,F,2026-01-11,222.88,guatemala,Retail
502794,Pablo Perez,M,2026-02-06,"287,37",Escuintla,Retail
504410,PAOLA HERRERA, f ,2026-01-05,"400,01",ANTIGUA,education
500921,Monica Lopez, f ,2026-02-16,"69,85",quetzaltenango,FOOD
500344,Ana Soto, f ,2026-01-02,,Guatemala ,EDUCATION
503170,Laura Mendez, m ,08/01/2026,,Guatemala,EDUCATION
502929,Daniel  Morales,M,2026-01-12,237.93,Antigua,Food
503768, Karla Vargas , m ,2026-01-16,364.37,Escuintla,Food
501480, Carmen Gomez , m ,2026-01-08,"491,09",Quetzaltenango,Services
503393, Daniel Flores ,M,2026-02-06,"189,82",Escuintla,EDUCATION
501479,Paola  Fuentes,m,2026-01-03,"126,41",Antigua,retail
503665, Carmen Soto ,M,2026-01-06,,Antigua,food
504232,elena perez,F,28/01/2026,"204,59",Villa Nueva,Services
502530,Carlos Fuentes,M,2026-01-28,"318,53",Escuintla,Food
500837, Oscar Fuentes , f ,2026-02-05,315.81,Villa Nueva,Food
504238, Maria Morales ,F,2026-01-04,"251,82",Guatemala,Services
500464, Elena Vargas ,M,2026-01-27,487.93,amatitlan,Services
504241,Karla Rojas,F,2026-01-25,376.15,Antigua,RETAIL
501040,gustavo nunez,f,2026-02-25,,Escuintla,Retail
501552,Pedro  Mejia,F,2026-02-24,"23,85",chimaltenango,Retail
501126, Sofia Mendez ,M,2026-02-27,323.34,Mixco,Services
504376,Carmen Solis, f ,29/01/2026,69.32,  Chimaltenango,Food
501851,Elena Soto, f ,2026-02-09,214.50,Mixco,services
504281,CARMEN FUENTES,f,2026-01-10,"245,81",Mixco,food
501098, Karla Rojas ,M,07/01/2026,326.83,  Chimaltenango,Services
504347,Patricia Morales,F,01/02/2026,"283,68",Quetzaltenango,SERVICES
504260,Fernando Ramirez, m ,2026-01-20,6.67,amatitlan,EDUCATION
501419,Elena Vargas,f,12/02/2026,"179,13",Villa Nueva,Food 
503884,Laura Cruz,M,2026-02-08,,Villa Nueva,Services
502586,karla perez,m,2026-01-15,,AMATITLAN,retail
503375,CARLOS CASTILLO, m ,2026-01-14,"153,61",AMATITLAN,FOOD
501054,gabriela paz,F,27/01/2026,98.61,Guatemala,Services
503880,LAURA FUENTES,f,2026-01-01,363.38,  Villa Nueva,Education
502476,Oscar Morales,f,2026-01-21,,Amatitlan,Food
500015, Andrea Ortega , m ,2026-02-02,224.61,  Guatemala,Services
503627, Karla Lopez , m ,2026-01-19,212.04, ,Education
501372,Andrea Dominguez,m,2026-01-20,206.01,ESCUINTLA,services
503319,Pablo Herrera, m ,2026-01-16,67.35,mixco,Retail
503195,kevin rojas, f ,2026-02-14,"28,25",quetzaltenango,Retail
502898, Sofia Cruz , m ,2026-02-19,"274,08",NA,Food
504162,karla lima,F,2026-01-27,"444,86",Amatitlan,Services 
503479,Maria Alvarez,m,2026-01-21,"83,58",Quetzaltenango,Services
502819,Laura  Rojas,f,2026-01-29,"15,43",Escuintla,Services
502658,Monica  Dominguez, f ,2026-01-15,61.23,guatemala,Education
503447, Isabel Dominguez ,f,2026-02-04,"459,66",Chimaltenango ,Food
501997,Pedro Cruz, m ,2026-02-04,"256,64",Guatemala,Education
